key	ru	de	es	fr	fi
The translation became the source text and the direction is reversed. The previous result is no longer shown.	Перевод стал исходным текстом, а направление изменилось. Предыдущий результат больше не отображается.	Die Übersetzung ist jetzt der Ausgangstext und die Richtung wurde umgekehrt. Das vorherige Ergebnis wird nicht mehr angezeigt.	La traducción pasó a ser el texto de origen y se invirtió la dirección. El resultado anterior ya no se muestra.	La traduction est devenue le texte source et le sens a été inversé. Le résultat précédent n’est plus affiché.	Käännös siirrettiin lähdetekstiksi ja suunta vaihdettiin. Edellistä tulosta ei enää näytetä.
This prepares the language pack. It is not a percentage of the translation.	Это подготовка языкового пакета, а не процент выполнения перевода.	Hier wird das Sprachpaket vorbereitet. Der Prozentwert zeigt nicht den Übersetzungsfortschritt.	Esto prepara el paquete de idioma. No indica el porcentaje de la traducción.	Il s’agit de la préparation du pack linguistique, pas du pourcentage de traduction.	Tämä valmistelee kielipaketin. Prosentti ei kuvaa käännöksen edistymistä.
A new translation can start once this one stops. Your text is kept.	Новый перевод можно начать после остановки текущего. Ваш текст сохранится.	Eine neue Übersetzung kann starten, sobald diese beendet ist. Dein Text bleibt erhalten.	Podrás iniciar otra traducción cuando se detenga esta. Tu texto se conserva.	Une nouvelle traduction pourra démarrer après l’arrêt de celle-ci. Votre texte est conservé.	Uuden käännöksen voi aloittaa, kun tämä pysähtyy. Tekstisi säilyy.
Retry with the same Translate text button, or choose a different language pair.	Повторите попытку кнопкой «Перевести текст» или выберите другую языковую пару.	Versuche es erneut mit „Text übersetzen“ oder wähle ein anderes Sprachpaar.	Vuelve a intentarlo con «Traducir texto» o elige otro par de idiomas.	Réessayez avec « Traduire le texte » ou choisissez une autre paire de langues.	Yritä uudelleen Käännä teksti -painikkeella tai valitse toinen kielipari.
Translate again	Перевести ещё раз	Erneut übersetzen	Traducir de nuevo	Traduire à nouveau	Käännä uudelleen
Share is the system sheet — you choose the destination	В системном меню «Поделиться» вы выбираете, куда отправить текст	Im Teilen-Menü des Systems wählst du das Ziel	En el menú del sistema eliges dónde compartir	Le menu de partage du système vous laisse choisir la destination	Valitset kohteen järjestelmän jakovalikossa
No imports in progress	Нет активных импортов	Keine laufenden Importe	No hay importaciones en curso	Aucune importation en cours	Ei tuonteja käynnissä
Choose a recording from Files, or share one from Voice Memos.	Выберите запись в «Файлах» или отправьте её из «Диктофона».	Wähle eine Aufnahme aus „Dateien“ oder teile sie aus „Sprachmemos“.	Elige una grabación de Archivos o compártela desde Notas de Voz.	Choisissez un enregistrement dans Fichiers ou partagez-le depuis Dictaphone.	Valitse tallenne Tiedostot-apista tai jaa se Sanelimesta.
Saved notes stay in your list. Completed jobs are not kept here.	Сохранённые заметки остаются в списке. Завершённые задания здесь не хранятся.	Gespeicherte Notizen bleiben in deiner Liste. Abgeschlossene Aufträge werden hier nicht aufbewahrt.	Las notas guardadas permanecen en tu lista. Los trabajos completados no se conservan aquí.	Les notes enregistrées restent dans votre liste. Les tâches terminées ne sont pas conservées ici.	Tallennetut muistiinpanot pysyvät luettelossasi. Valmiita tehtäviä ei säilytetä täällä.
Paused	На паузе	Pausiert	En pausa	En pause	Keskeytetty
Translation packs · text	Пакеты перевода · текст	Übersetzungspakete · Text	Paquetes de traducción · texto	Packs de traduction · texte	Käännöspaketit · teksti
Text and refined voice translation use the same downloaded packs.	Перевод текста и уточнение голосового перевода используют общие скачанные пакеты.	Textübersetzung und verfeinerte Sprachübersetzung verwenden dieselben heruntergeladenen Pakete.	La traducción de texto y la traducción de voz refinada usan los mismos paquetes descargados.	La traduction de texte et l’affinage de la traduction vocale utilisent les mêmes packs téléchargés.	Tekstin kääntäminen ja puhekäännöksen viimeistely käyttävät samoja ladattuja paketteja.
No files on device	На устройстве нет файлов	Keine Dateien auf dem Gerät	No hay archivos en el dispositivo	Aucun fichier sur l’appareil	Laitteessa ei ole tiedostoja
Files on device	Файлы на устройстве	Dateien auf dem Gerät	Archivos en el dispositivo	Fichiers sur l’appareil	Laitteen tiedostot
Voice translation	Голосовой перевод	Sprachübersetzung	Traducción de voz	Traduction vocale	Puhekäännös
Text translation	Перевод текста	Textübersetzung	Traducción de texto	Traduction de texte	Tekstin kääntäminen
Could not read storage.	Не удалось прочитать хранилище.	Speicher konnte nicht gelesen werden.	No se pudo leer el almacenamiento.	Impossible de lire le stockage.	Tallennustilaa ei voitu lukea.
About Murmator	О Murmator	Über Murmator	Acerca de Murmator	À propos de Murmator	Tietoja Murmatorista
Version	Версия	Version	Versión	Version	Versio
Privacy	Приватность	Datenschutz	Privacidad	Confidentialité	Tietosuoja
Open source	Открытый исходный код	Open Source	Código abierto	Code source ouvert	Avoin lähdekoodi
Open-source licenses	Лицензии компонентов	Open-Source-Lizenzen	Licencias de código abierto	Licences open source	Avoimen lähdekoodin lisenssit
Export Bergamot source code	Экспортировать исходники Bergamot	Bergamot-Quellcode exportieren	Exportar código fuente de Bergamot	Exporter le code source de Bergamot	Vie Bergamotin lähdekoodi
Speech recognition and translation run on your device. Murmator does not upload your recordings, notes or translation text.	Распознавание речи и перевод выполняются на устройстве. Murmator не отправляет ваши записи, заметки и тексты перевода на сервер.	Spracherkennung und Übersetzung erfolgen auf deinem Gerät. Murmator lädt deine Aufnahmen, Notizen oder Übersetzungstexte nicht hoch.	El reconocimiento de voz y la traducción se realizan en tu dispositivo. Murmator no sube tus grabaciones, notas ni textos de traducción.	La reconnaissance vocale et la traduction ont lieu sur votre appareil. Murmator ne transmet pas vos enregistrements, notes ni textes à traduire.	Puheentunnistus ja kääntäminen tapahtuvat laitteellasi. Murmator ei lähetä tallenteitasi, muistiinpanojasi tai käännettäviä tekstejä palvelimelle.
Downloading language packs connects to model hosting services. These services receive the network information needed to deliver files.	При скачивании языковых пакетов приложение подключается к сервисам хранения моделей. Они получают сетевые данные, необходимые для передачи файлов.	Beim Laden von Sprachpaketen verbindet sich die App mit Modelldiensten. Diese erhalten die für die Dateiübertragung erforderlichen Netzwerkdaten.	Al descargar paquetes de idiomas, la app se conecta a servicios de alojamiento de modelos. Estos reciben los datos de red necesarios para entregar los archivos.	Le téléchargement des packs de langues utilise des services d’hébergement de modèles. Ils reçoivent les données réseau nécessaires à la transmission des fichiers.	Kielipakettien lataaminen muodostaa yhteyden malleja tarjoaviin palveluihin. Ne saavat tiedostojen toimittamiseen tarvittavat verkkotiedot.
You choose what to share using the iOS share sheet. Device backups follow your system settings.	Вы сами выбираете, чем поделиться через меню iOS. Резервное копирование устройства зависит от системных настроек.	Du bestimmst über das iOS-Teilen-Menü, was du teilst. Gerätesicherungen richten sich nach deinen Systemeinstellungen.	Tú eliges qué compartir mediante el menú de iOS. Las copias de seguridad dependen de los ajustes del sistema.	Vous choisissez quoi partager via le menu iOS. Les sauvegardes de l’appareil suivent vos réglages système.	Valitset itse jaettavan sisällön iOS:n jakovalikosta. Laitteen varmuuskopiot noudattavat järjestelmäasetuksiasi.
Replace with translation	Заменить переводом	Durch Übersetzung ersetzen	Reemplazar por la traducción	Remplacer par la traduction	Korvaa käännöksellä
Default translation app	Переводчик по умолчанию	Standard-Übersetzungsapp	App de traducción predeterminada	App de traduction par défaut	Oletuskäännössovellus
Choose Murmator for selected text in other apps	Выбери Murmator для перевода текста в других приложениях	Murmator für ausgewählten Text in anderen Apps wählen	Elige Murmator para el texto seleccionado en otras apps	Choisissez Murmator pour le texte sélectionné dans d’autres apps	Valitse Murmator muissa sovelluksissa valitun tekstin kääntämiseen
Open Murmator once to prepare system translation.	Открой Murmator один раз, чтобы подготовить системный перевод.	Öffne Murmator einmal, um die Systemübersetzung vorzubereiten.	Abre Murmator una vez para preparar la traducción del sistema.	Ouvrez Murmator une fois pour préparer la traduction système.	Avaa Murmator kerran järjestelmän käännöstoiminnon valmistelemiseksi.
Your selected text is kept. Return here after opening the app.	Выделенный текст сохранён. Вернись сюда после открытия приложения.	Dein ausgewählter Text bleibt erhalten. Kehre nach dem Öffnen der App hierher zurück.	El texto seleccionado se conserva. Vuelve aquí después de abrir la app.	Votre texte sélectionné est conservé. Revenez ici après avoir ouvert l’app.	Valittu teksti säilyy. Palaa tähän avattuasi sovelluksen.
Check the source language before translating this text.	Проверь исходный язык перед переводом этого текста.	Prüfe vor dem Übersetzen die Ausgangssprache.	Comprueba el idioma de origen antes de traducir este texto.	Vérifiez la langue source avant de traduire ce texte.	Tarkista lähdekieli ennen tämän tekstin kääntämistä.
Extra copy of a language pack from an earlier app version.	Дополнительная копия языкового пакета из предыдущей версии приложения.	Zusätzliche Kopie eines Sprachpakets aus einer früheren App-Version.	Copia adicional de un paquete de idiomas de una versión anterior de la app.	Copie supplémentaire d’un pack de langue d’une version précédente de l’app.	Kielipaketin ylimääräinen kopio sovelluksen aiemmasta versiosta.
